ticker,name,market
273060,와이즈버즈,KOSDAQ
321370,센서뷰,KOSDAQ
302550,리메드,KOSDAQ
417200,LS머트리얼즈,KOSDAQ
045390,대아티아이,KOSDAQ
253590,네오셈,KOSDAQ
019570,플루토스,KOSDAQ
089150,케이씨티,KOSDAQ
267320,나인테크,KOSDAQ
088130,동아엘텍,KOSDAQ
238120,얼라인드,KOSDAQ
050090,비케이홀딩스,KOSDAQ
313760,캐리,KOSDAQ
